@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Gender {Women,Men}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Cost_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Return_Rate {High,Low,Medium}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Outerwear,Puma,Leggings,Men,XL,Green,Summer,Cash,New,Medium,Medium,Small,Medium,High,Medium,Elder,Frequent,Excellent,High,Medium,'High Sales'
Bottoms,Zara,'Track Pants',Men,XL,Black,Summer,UPI,Returning,Medium,Medium,Large,'Very Low',High,Low,Adult,Moderate,Average,Low,Medium,'High Sales'
Tops,Nike,Dress,Men,L,Purple,Summer,'Net Banking',Returning,Medium,Medium,Moderate,'Very Low',High,Medium,Elder,Moderate,Poor,High,Medium,'High Sales'
Athleisure,Gucci,Jeans,Men,L,Blue,Summer,'Net Banking',Returning,High,Medium,Moderate,'Very Low',Medium,High,Elder,Moderate,Poor,Low,High,'High Sales'
Athleisure,'Ralph Lauren',Hoodie,Men,XL,Purple,All-Season,Card,Returning,Medium,Medium,Small,'Very Low',High,Medium,Elder,Infrequent,Poor,Low,Medium,'High Sales'
Tops,'Calvin Klein',Dress,Men,S,Green,Winter,Card,Returning,Medium,Low,Small,Low,Medium,Low,Elder,Moderate,Poor,High,Medium,'High Sales'
Tops,Zara,'Track Pants',Women,XL,Black,Summer,Cash,New,Medium,Medium,Moderate,Medium,High,Medium,Teen,Moderate,Average,Low,Medium,'High Sales'
Tops,'Calvin Klein',Jacket,Men,XXL,Red,Summer,UPI,New,Low,Medium,Moderate,High,Medium,High,Teen,Moderate,Poor,Low,Medium,'High Sales'
Tops,GAP,'Track Pants',Men,S,Yellow,All-Season,Cash,New,Medium,Medium,Small,Medium,High,Medium,Senior,Moderate,Average,Medium,Medium,'High Sales'
Tops,GAP,Hoodie,Women,XL,Black,Summer,UPI,Returning,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear',Wrangler,Jeans,Women,M,Blue,Summer,'Net Banking',Returning,High,Medium,Moderate,'Very Low',High,Low,Teen,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear',Gucci,Blazer,Women,XXL,Orange,Winter,UPI,Returning,Medium,Low,Moderate,Medium,Medium,Low,Elder,Moderate,Poor,High,Medium,'High Sales'
Outerwear,'Louis Vuitton','Casual Shirt',Men,XL,Red,Summer,UPI,New,Medium,Medium,Moderate,High,High,High,Teen,Moderate,Excellent,Low,Medium,'High Sales'
Bottoms,H&M,Trousers,Men,XXL,Pink,All-Season,'Net Banking',Returning,Medium,Medium,Large,Medium,Medium,Low,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
Tops,Wrangler,'Formal Shirt',Women,XL,Pink,Winter,Cash,New,Medium,Medium,Large,Low,Medium,High,Senior,Moderate,Excellent,Low,Medium,'High Sales'
Tops,Reebok,Sweatshirt,Women,M,Pink,All-Season,Cash,New,Medium,Medium,Small,Medium,Medium,Low,Teen,Moderate,Average,Low,Medium,'High Sales'
Bottoms,Diesel,Hoodie,Men,S,Blue,Winter,'Net Banking',Returning,Medium,Medium,Large,High,High,Medium,Senior,Moderate,Poor,Medium,Medium,'High Sales'
Bottoms,'Calvin Klein',Kurta,Women,L,Green,Summer,'Net Banking',New,Low,Medium,Large,'Very Low',High,Medium,Teen,Moderate,Average,Low,Medium,'High Sales'
Outerwear,Levi’s,Kurta,Men,M,Red,Summer,Card,New,Medium,Medium,Small,High,Medium,High,Adult,Moderate,Poor,Medium,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Skirt,Women,XXL,Yellow,Summer,UPI,Returning,Medium,Medium,Moderate,'Very Low',Medium,Medium,Adult,Moderate,Poor,Low,Medium,'High Sales'
Tops,'Calvin Klein',Skirt,Women,L,Orange,Summer,UPI,Returning,Medium,Medium,Small,High,High,Medium,Teen,Moderate,Excellent,Low,Medium,'High Sales'
Bottoms,Gucci,Jumpsuit,Men,M,Yellow,Winter,'Net Banking',New,Medium,Medium,Moderate,Medium,High,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Tops,'Forever 21','Formal Shirt',Women,M,Red,Summer,'Net Banking',Returning,Medium,Medium,Large,Low,Medium,Medium,Teen,Infrequent,Average,High,Medium,'High Sales'
Outerwear,Nike,Sweatshirt,Men,XL,Red,All-Season,'Net Banking',New,Medium,Medium,Large,Low,High,Low,Adult,Moderate,Average,Low,Medium,'High Sales'
Outerwear,Nike,Blazer,Women,XXL,Blue,All-Season,UPI,New,High,Medium,Moderate,Medium,High,Low,Elder,Moderate,Excellent,High,High,'High Sales'
Athleisure,Zara,Palazzo,Men,L,Blue,Winter,'Net Banking',Returning,High,Medium,Moderate,Low,High,High,Elder,Moderate,Excellent,High,High,'High Sales'
Bottoms,Puma,Shorts,Men,XL,Pink,Summer,'Net Banking',New,Medium,Medium,Small,Medium,High,Medium,Elder,Moderate,Excellent,High,Low,'High Sales'
Bottoms,Uniqlo,'Formal Shirt',Women,XL,Orange,Summer,'Net Banking',Returning,Medium,Medium,Moderate,High,Medium,Medium,Teen,Frequent,Excellent,Medium,Medium,'High Sales'
'Traditional Wear',Diesel,Blazer,Women,XL,Orange,Summer,Cash,New,Medium,Medium,Moderate,High,Medium,High,Teen,Moderate,Excellent,Medium,Medium,'High Sales'
Bottoms,Versace,'Casual Shirt',Women,L,Blue,Summer,Cash,Returning,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Moderate,Average,High,Medium,'High Sales'
Bottoms,Gucci,Skirt,Women,M,Black,Summer,Cash,Returning,Medium,Medium,Small,'Very Low',High,Medium,Senior,Moderate,Average,Medium,Medium,'High Sales'
Athleisure,Puma,'Track Pants',Women,L,Orange,Summer,'Net Banking',Returning,Medium,Medium,Small,'Very Low',Medium,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
Outerwear,'Forever 21','Casual Shirt',Women,XL,Black,All-Season,UPI,New,Medium,Medium,Large,High,Medium,High,Teen,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,Levi’s,Sweatshirt,Men,XL,Orange,Summer,UPI,New,Medium,Medium,Large,'Very Low',High,Low,Teen,Moderate,Average,Medium,Medium,'High Sales'
Bottoms,'Under Armour',Dress,Women,M,White,Summer,'Net Banking',New,Medium,Medium,Moderate,'Very Low',Medium,Medium,Elder,Infrequent,Poor,Medium,Medium,'High Sales'
'Traditional Wear',Nike,'Formal Shirt',Women,S,Red,Winter,'Net Banking',Returning,Medium,Medium,Large,Medium,High,High,Senior,Moderate,Poor,High,Medium,'High Sales'
Bottoms,Puma,Jeans,Women,XL,Black,Winter,'Net Banking',Returning,Medium,Medium,Moderate,High,Medium,Medium,Adult,Moderate,Average,Medium,Medium,'High Sales'
Outerwear,Uniqlo,Skirt,Women,XL,Green,Winter,'Net Banking',Returning,Medium,Low,Moderate,Low,Medium,High,Elder,Moderate,Poor,Low,Medium,'High Sales'
Athleisure,Levi’s,'Formal Shirt',Men,L,Black,Winter,'Net Banking',New,Medium,Medium,Large,High,High,Medium,Elder,Infrequent,Poor,Medium,Medium,'High Sales'
'Traditional Wear',Levi’s,Skirt,Women,M,Blue,All-Season,Card,New,Medium,Medium,Moderate,High,Medium,Medium,Teen,Moderate,Average,High,Medium,'High Sales'
Tops,Wrangler,Kurta,Women,XXL,Pink,Winter,Card,Returning,Medium,Medium,Small,Low,High,Low,Teen,Moderate,Average,Medium,Medium,'High Sales'
Bottoms,Nike,Leggings,Men,M,Red,All-Season,Card,Returning,Low,Medium,Moderate,Medium,High,Medium,Elder,Moderate,Average,Medium,Medium,'High Sales'
Outerwear,'Louis Vuitton',Sweatshirt,Men,XXL,Pink,All-Season,Card,New,Medium,Low,Small,Low,High,Low,Elder,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,H&M,Sweatshirt,Women,XL,Green,Summer,UPI,New,Medium,Medium,Moderate,High,High,Low,Elder,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear','Ralph Lauren',T-Shirt,Women,S,Black,All-Season,'Net Banking',Returning,Medium,Low,Large,'Very Low',High,High,Teen,Moderate,Excellent,Medium,Medium,'High Sales'
Bottoms,Reebok,Kurta,Men,XXL,Red,Summer,Card,New,Medium,Medium,Small,Low,Medium,Medium,Senior,Moderate,Average,Low,Medium,'High Sales'
Athleisure,Nike,Kurta,Men,S,Black,Summer,Card,New,High,Low,Small,Medium,High,Low,Senior,Moderate,Average,Low,High,'High Sales'
Athleisure,Wrangler,'Formal Shirt',Men,S,Green,All-Season,UPI,Returning,High,Medium,Moderate,'Very Low',High,Medium,Adult,Moderate,Average,Medium,Medium,'High Sales'
Outerwear,'Under Armour',T-Shirt,Men,XXL,White,Winter,Cash,New,Medium,High,Small,High,High,Medium,Senior,Moderate,Average,Medium,Low,'High Sales'
'Traditional Wear',H&M,Sweatshirt,Women,S,Blue,All-Season,'Net Banking',New,Medium,Medium,Small,'Very Low',Medium,High,Teen,Moderate,Excellent,Low,Medium,'High Sales'
Athleisure,Adidas,T-Shirt,Men,XXL,Black,Summer,Card,Returning,High,Low,Small,Low,High,High,Elder,Moderate,Average,Medium,High,'High Sales'
'Traditional Wear',Puma,Kurta,Men,S,Red,Summer,Cash,New,Medium,Medium,Large,'Very Low',High,Low,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,Wrangler,Blazer,Women,XL,Red,All-Season,UPI,New,Medium,Low,Large,'Very Low',High,Low,Adult,Moderate,Excellent,Medium,Medium,'High Sales'
'Traditional Wear','Forever 21',Leggings,Men,S,Pink,All-Season,Card,New,Medium,Medium,Large,Medium,High,Medium,Senior,Moderate,Average,High,Medium,'High Sales'
Athleisure,Puma,'Formal Shirt',Women,M,Pink,All-Season,UPI,Returning,Low,High,Large,'Very Low',Medium,Low,Elder,Frequent,Excellent,Medium,Low,'High Sales'
Outerwear,Uniqlo,Saree,Women,L,Purple,Winter,Cash,Returning,Medium,Medium,Small,Medium,Medium,Low,Elder,Moderate,Average,Medium,Medium,'High Sales'
Bottoms,'Ralph Lauren',Hoodie,Men,XL,Orange,Winter,Card,Returning,High,Medium,Small,'Very Low',Medium,Low,Elder,Moderate,Average,High,Medium,'High Sales'
Tops,Versace,Palazzo,Women,XL,Red,All-Season,Card,Returning,Medium,Medium,Small,'Very Low',High,High,Adult,Infrequent,Poor,Medium,Medium,'High Sales'
'Traditional Wear',Zara,Jumpsuit,Women,S,Blue,Summer,Card,New,Medium,Medium,Moderate,Low,Medium,High,Adult,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear',Wrangler,Saree,Women,M,White,Winter,UPI,Returning,Medium,Medium,Small,High,Medium,Low,Elder,Moderate,Poor,Low,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',Tops,Women,S,White,All-Season,Cash,Returning,High,Medium,Large,Medium,High,High,Senior,Moderate,Poor,Low,Medium,'High Sales'
'Traditional Wear',Wrangler,T-Shirt,Men,XL,Orange,All-Season,Card,New,Medium,Medium,Small,High,Medium,Low,Adult,Moderate,Excellent,Low,Medium,'High Sales'
Athleisure,Wrangler,Jeans,Women,L,Red,Winter,UPI,New,Medium,Medium,Moderate,Medium,Medium,Low,Adult,Moderate,Average,Low,Medium,'High Sales'
Athleisure,'Tommy Hilfiger',Kurta,Men,L,Purple,Winter,'Net Banking',New,Low,Medium,Moderate,High,Medium,Medium,Teen,Frequent,Average,High,Medium,'High Sales'
Athleisure,Nike,Leggings,Men,XL,Black,Winter,UPI,Returning,Medium,Low,Moderate,Low,High,High,Elder,Infrequent,Excellent,Low,High,'High Sales'
'Traditional Wear',Reebok,Tops,Women,XXL,Green,Winter,'Net Banking',New,Medium,Low,Large,High,High,Medium,Adult,Moderate,Excellent,Medium,High,'High Sales'
Athleisure,GAP,'Formal Shirt',Men,XXL,Black,Summer,UPI,New,Medium,Medium,Large,'Very Low',Medium,Medium,Adult,Moderate,Average,Medium,Medium,'High Sales'
Outerwear,Reebok,Tops,Men,L,Pink,Winter,'Net Banking',New,Medium,Medium,Moderate,Medium,Medium,High,Senior,Infrequent,Average,Low,Medium,'High Sales'
'Traditional Wear',Reebok,Jumpsuit,Men,XL,Pink,Winter,Card,New,Medium,Medium,Large,Medium,High,Medium,Teen,Moderate,Average,Medium,Medium,'High Sales'
Bottoms,Reebok,Skirt,Women,L,Blue,All-Season,Card,Returning,Medium,Medium,Moderate,Low,High,Medium,Elder,Moderate,Excellent,High,Medium,'High Sales'
Bottoms,Gucci,Sweatshirt,Women,XL,Black,Summer,'Net Banking',New,Medium,Medium,Large,Medium,Medium,High,Senior,Moderate,Poor,High,Medium,'High Sales'
Athleisure,Levi’s,Trousers,Women,L,White,All-Season,'Net Banking',New,Medium,Medium,Large,Medium,High,Medium,Adult,Moderate,Poor,High,Medium,'High Sales'
Athleisure,Adidas,Trousers,Women,XXL,Blue,All-Season,Cash,New,Medium,Medium,Moderate,Low,High,High,Teen,Moderate,Average,Medium,Medium,'High Sales'
'Traditional Wear','Calvin Klein','Polo Shirt',Women,S,Blue,All-Season,UPI,Returning,Medium,Medium,Large,Medium,High,High,Elder,Moderate,Poor,Medium,Medium,'High Sales'
Bottoms,'Tommy Hilfiger',Jeans,Women,L,Yellow,All-Season,UPI,New,Medium,Medium,Small,'Very Low',High,Low,Elder,Moderate,Average,Medium,Low,'High Sales'
Bottoms,'Louis Vuitton','Polo Shirt',Women,XXL,Blue,Winter,Card,New,Medium,Medium,Large,Low,Medium,Low,Senior,Infrequent,Average,Low,Medium,'High Sales'
'Traditional Wear','Louis Vuitton',Hoodie,Men,S,Blue,All-Season,Cash,Returning,High,Medium,Small,Medium,High,High,Elder,Moderate,Average,High,Medium,'High Sales'
Tops,H&M,Leggings,Men,S,Orange,Winter,'Net Banking',New,Medium,Medium,Moderate,'Very Low',Medium,High,Adult,Moderate,Poor,High,Medium,'High Sales'
Tops,Wrangler,Kurta,Men,XXL,Black,All-Season,Cash,New,Low,Medium,Small,Medium,Medium,High,Senior,Moderate,Poor,Medium,Low,'High Sales'
Outerwear,H&M,Hoodie,Men,S,Green,All-Season,Card,New,Medium,Medium,Moderate,High,Medium,High,Senior,Infrequent,Excellent,Low,Medium,'High Sales'
Outerwear,Adidas,'Track Pants',Men,S,Green,All-Season,Cash,Returning,High,Medium,Moderate,'Very Low',High,High,Elder,Moderate,Average,Low,Medium,'High Sales'
Tops,'Under Armour',T-Shirt,Women,S,Pink,All-Season,Card,New,Medium,Medium,Large,'Very Low',High,Medium,Adult,Moderate,Poor,Medium,Medium,'High Sales'
'Traditional Wear',Wrangler,Jumpsuit,Men,XL,Black,Winter,'Net Banking',Returning,Medium,High,Large,'Very Low',Medium,Medium,Senior,Moderate,Average,Low,Low,'High Sales'
'Traditional Wear',Zara,Jeans,Men,XL,Blue,All-Season,Card,Returning,High,Medium,Moderate,'Very Low',High,Medium,Teen,Frequent,Poor,Low,Medium,'High Sales'
'Traditional Wear',Wrangler,Skirt,Women,XL,Pink,Summer,Card,Returning,Medium,High,Small,'Very Low',Medium,Medium,Elder,Moderate,Average,Low,Low,'High Sales'
Outerwear,Reebok,Tops,Women,L,Black,All-Season,Card,New,Medium,Medium,Small,High,High,Low,Teen,Moderate,Poor,Low,Medium,'High Sales'
'Traditional Wear',Nike,Jeans,Women,XL,Red,Summer,Cash,Returning,Medium,Low,Moderate,Low,Medium,Low,Teen,Frequent,Average,Medium,High,'High Sales'
Athleisure,Levi’s,Saree,Women,L,Pink,All-Season,UPI,Returning,Medium,Medium,Moderate,High,Medium,High,Senior,Moderate,Poor,Medium,Medium,'High Sales'
Athleisure,'Under Armour','Polo Shirt',Men,M,Purple,All-Season,'Net Banking',Returning,Low,Medium,Moderate,High,Medium,Medium,Senior,Moderate,Average,High,Low,'High Sales'
'Traditional Wear',Zara,'Track Pants',Women,M,Blue,Winter,UPI,New,Medium,Medium,Large,'Very Low',High,Low,Elder,Moderate,Average,Medium,Medium,'High Sales'
Outerwear,GAP,T-Shirt,Women,S,Blue,Summer,'Net Banking',New,Medium,Medium,Moderate,Medium,Medium,Medium,Senior,Moderate,Poor,Medium,Medium,'High Sales'
Athleisure,Gucci,Skirt,Women,XXL,White,Winter,Card,New,Low,Medium,Moderate,Medium,High,High,Senior,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,Wrangler,Kurta,Women,L,Black,Winter,'Net Banking',New,Medium,Medium,Moderate,Medium,Medium,Medium,Elder,Moderate,Poor,High,Medium,'High Sales'
Tops,'Ralph Lauren',Jeans,Women,XXL,Purple,All-Season,Card,Returning,Medium,High,Large,'Very Low',High,Low,Senior,Moderate,Excellent,Low,Medium,'High Sales'
'Traditional Wear',Versace,Tops,Women,L,Black,Winter,Cash,Returning,Medium,Medium,Moderate,'Very Low',Medium,High,Elder,Moderate,Average,Medium,Medium,'High Sales'
Bottoms,'Forever 21','Polo Shirt',Women,XXL,Green,Summer,UPI,New,Medium,Medium,Small,'Very Low',Medium,Low,Elder,Moderate,Average,High,Medium,'High Sales'
Outerwear,'Ralph Lauren',Palazzo,Men,S,Black,Summer,Cash,Returning,Medium,Medium,Moderate,Low,Medium,Low,Senior,Moderate,Poor,Low,Medium,'High Sales'
Bottoms,'Ralph Lauren',Dress,Women,S,White,Winter,Cash,Returning,Medium,Medium,Small,Low,High,High,Teen,Moderate,Excellent,Low,Medium,'High Sales'
Bottoms,Zara,'Casual Shirt',Women,L,Orange,Summer,'Net Banking',Returning,Medium,Low,Small,'Very Low',High,Medium,Elder,Moderate,Poor,Low,High,'High Sales'
Tops,GAP,Skirt,Men,L,Pink,Summer,Card,New,Medium,Medium,Large,'Very Low',Medium,Medium,Senior,Moderate,Average,High,Medium,'High Sales'
Tops,GAP,'Polo Shirt',Men,M,White,Summer,UPI,New,Medium,Medium,Large,Medium,High,Low,Elder,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear',Adidas,Sweatshirt,Men,M,Pink,Summer,UPI,Returning,Medium,Medium,Large,Low,High,High,Senior,Moderate,Excellent,Low,Medium,'High Sales'
Tops,Levi’s,'Casual Shirt',Men,XL,White,All-Season,Cash,Returning,Low,Medium,Moderate,High,Medium,Low,Senior,Moderate,Poor,Low,Low,'High Sales'
Athleisure,Versace,'Formal Shirt',Men,M,Yellow,Winter,Cash,Returning,Medium,Low,Moderate,Low,High,Medium,Senior,Moderate,Average,Medium,Medium,'High Sales'
Tops,'Calvin Klein',Saree,Men,XL,White,All-Season,Cash,New,Medium,Medium,Small,Medium,Medium,Low,Adult,Moderate,Poor,Medium,Medium,'High Sales'
Tops,'Calvin Klein',Palazzo,Women,XXL,Orange,Summer,'Net Banking',Returning,High,Low,Moderate,Low,High,Low,Senior,Infrequent,Poor,High,High,'High Sales'
Tops,Zara,Palazzo,Men,XL,Pink,Winter,Cash,Returning,High,Medium,Small,'Very Low',Medium,Medium,Elder,Frequent,Poor,Low,Medium,'High Sales'
'Traditional Wear',Puma,Saree,Women,XXL,Green,Summer,'Net Banking',New,Medium,Medium,Small,'Very Low',Medium,Medium,Senior,Moderate,Poor,Medium,Medium,'High Sales'
Bottoms,Zara,Blazer,Men,M,Purple,Winter,'Net Banking',New,Medium,Medium,Large,High,Medium,Medium,Senior,Moderate,Excellent,High,Medium,'High Sales'
Tops,Balenciaga,'Casual Shirt',Men,S,Blue,Winter,Card,New,Medium,Medium,Moderate,High,Medium,Medium,Senior,Moderate,Poor,High,Medium,'High Sales'
Athleisure,Versace,Blazer,Women,M,Blue,All-Season,Card,New,Medium,Medium,Large,'Very Low',Medium,High,Senior,Moderate,Average,High,Medium,'High Sales'
